Country,Region,1990,2000,2010,2020
Russia,Asia,808950,809269,815136,815312
Brazil,South America,588898,551089,511581,496620
Canada,North America and Central America,348273,347802,347322,346928
United States,North America and Central America,302450,303536,308720,309795
China,Asia,157141,177001,200610,219978
Congo,Africa,150629,143899,137169,126155
Australia,Oceania,133882,131814,129546,134005
Indonesia,Asia,118545,101280,99659,92133
Angola,Africa,79263,77709,72158,66607
Peru,South America,76449,75298,74050,72330
